day,index,count turtles,count turtles with [infected? = false and recovered? = false],count turtles with [infected? = true],count turtles with [recovered? = true],death-count,quarantined-count,max-infected-others,variance-infected-others,mean-infected-others,run number,average-susceptibility,average-recovery-time,initial-population,initial-infected,average-death-rate,average-recovery-rate,quarantine-delay,mass-testing-intensity,social-distancing-intensity,lockdown-intensity
0,0,5000.0,4999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
1,24,4999.0,4979.0,20.0,0.0,1.0,0.0,6.0,1.435481125,1.6666666669999999,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
2,48,4998.0,4951.0,47.0,0.0,2.0,0.0,8.0,1.58051375,2.0434782609999997,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
3,72,4996.0,4917.0,79.0,0.0,4.0,0.0,10.0,1.6580730830000001,2.222222222,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
4,96,4993.0,4878.0,115.0,0.0,7.0,0.0,12.0,1.81970348,2.166666667,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
5,120,4988.0,4818.0,170.0,0.0,12.0,0.0,6.0,1.2246786170000001,2.0126582280000003,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
6,144,4976.0,4769.0,207.0,0.0,24.0,0.0,6.0,1.216033352,1.979381443,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
7,168,4966.0,4683.0,283.0,0.0,34.0,0.0,7.0,1.2889737959999998,1.928057554,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
8,192,4945.0,4577.0,368.0,0.0,55.0,0.0,8.0,1.3219356309999999,1.950276243,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
9,216,4925.0,4452.0,472.0,1.0,75.0,0.0,8.0,1.326516853,1.952586207,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
10,240,4894.0,4326.0,567.0,1.0,106.0,0.0,8.0,1.26721138,1.906574394,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
11,264,4868.0,4193.0,672.0,3.0,132.0,0.0,8.0,1.2386951929999999,1.95,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
12,288,4836.0,4065.0,767.0,4.0,164.0,0.0,8.0,1.200114248,1.9333333330000002,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
13,312,4800.0,3923.0,870.0,7.0,200.0,0.0,8.0,1.250998384,1.961098398,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
14,336,4766.0,3773.0,983.0,10.0,234.0,0.0,8.0,1.250751778,1.944554455,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
15,360,4716.0,3633.0,1069.0,14.0,284.0,0.0,8.0,1.247338628,1.963768116,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
16,384,4662.0,3505.0,1136.0,21.0,338.0,0.0,8.0,1.237574777,1.9810344830000002,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
17,408,4609.0,3369.0,1210.0,30.0,391.0,0.0,8.0,1.2408412979999999,1.97752809,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
18,432,4557.0,3206.0,1313.0,38.0,443.0,0.0,8.0,1.284009986,1.9809384159999999,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
19,456,4479.0,3047.0,1382.0,50.0,521.0,0.0,12.0,1.306093708,1.977869986,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
20,480,4412.0,2826.0,1522.0,64.0,588.0,0.0,8.0,1.2623221470000001,1.96388543,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
21,504,4330.0,2648.0,1587.0,95.0,670.0,0.0,8.0,1.2902713540000001,1.9739336490000001,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
22,528,4255.0,2464.0,1677.0,114.0,745.0,0.0,8.0,1.304991014,1.969866071,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
23,552,4183.0,2284.0,1760.0,139.0,817.0,0.0,9.0,1.301676269,1.970401691,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
24,576,4076.0,2100.0,1807.0,169.0,924.0,0.0,9.0,1.294921424,1.972392638,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
25,600,3998.0,1937.0,1867.0,194.0,1002.0,0.0,10.0,1.317222519,1.96183953,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
26,624,3899.0,1795.0,1878.0,226.0,1101.0,0.0,10.0,1.3137534709999998,1.957061069,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
27,648,3822.0,1650.0,1907.0,265.0,1178.0,0.0,10.0,1.312751946,1.9625818519999998,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
28,672,3728.0,1482.0,1938.0,308.0,1272.0,0.0,10.0,1.324622821,1.957371226,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
29,696,3628.0,1330.0,1944.0,354.0,1372.0,0.0,12.0,1.334883718,1.9544282030000002,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
30,720,3537.0,1168.0,1967.0,402.0,1463.0,0.0,12.0,1.34421844,1.96898575,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
31,744,3442.0,1024.0,1963.0,455.0,1558.0,0.0,12.0,1.3457580830000002,1.969647252,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
32,768,3324.0,889.0,1928.0,507.0,1676.0,0.0,12.0,1.372642678,1.97630719,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
33,792,3226.0,763.0,1918.0,545.0,1774.0,0.0,12.0,1.349370259,1.967923015,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
34,816,3127.0,601.0,1927.0,599.0,1873.0,0.0,12.0,1.3465779230000001,1.971896956,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
35,840,3030.0,449.0,1926.0,655.0,1970.0,0.0,12.0,1.356312788,1.984756098,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
36,864,2954.0,340.0,1906.0,708.0,2046.0,0.0,12.0,1.380520519,1.984234234,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
37,888,2855.0,222.0,1881.0,752.0,2145.0,0.0,12.0,1.380078929,1.975391499,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
38,912,2763.0,130.0,1821.0,812.0,2237.0,0.0,12.0,1.39026422,1.9827327330000002,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
39,936,2671.0,58.0,1745.0,868.0,2329.0,0.0,12.0,1.410446937,2.003034901,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
40,960,2562.0,19.0,1613.0,930.0,2438.0,0.0,12.0,1.422916205,2.012412723,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
41,984,2484.0,3.0,1498.0,983.0,2516.0,0.0,12.0,1.4288702130000002,2.021445592,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
42,1008,2419.0,1.0,1380.0,1038.0,2581.0,0.0,11.0,1.406244766,2.020408163,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
43,1032,2365.0,0.0,1274.0,1091.0,2635.0,0.0,11.0,1.407529245,2.020117351,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
44,1056,2317.0,0.0,1153.0,1164.0,2683.0,0.0,11.0,1.411369682,2.017979452,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
45,1080,2272.0,0.0,1055.0,1217.0,2728.0,0.0,11.0,1.41440363,2.018356643,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
