day,hour,alive,uninfected,infected,recovered,deaths,quarantined,max_infected,variance_infected,mean_infected,run_no,avg_susceptibility,avg_recovery_time,initial_population,initial_infected,average_death_rate,average_recovery_rate,quarantine_delay,mass_testing_intensity,social_distancing_intensity,lockdown_intensity
0,0,5000,4999,1,0,0,0,0,0.0,0.0,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
1,24,5000,4992,8,0,0,0,3,0.577350269,2.333333333,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
2,48,4999,4984,15,0,1,0,3,0.516397779,2.333333333,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
3,72,4997,4926,71,0,3,0,7,1.282358937,1.888888889,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
4,96,4993,4844,148,1,7,0,7,1.325922177,1.8375,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
5,120,4980,4771,208,1,20,0,7,1.328821194,1.873873874,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
6,144,4968,4685,282,1,32,0,8,1.341874211,1.8933333330000002,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
7,168,4953,4586,366,1,47,0,8,1.312549083,1.894179894,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
8,192,4939,4454,483,2,61,0,9,1.349420853,1.925925926,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
9,216,4909,4340,565,4,91,0,9,1.389352904,1.9409722219999999,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
10,240,4876,4161,707,8,124,0,10,1.4024482459999998,1.943089431,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
11,264,4838,3982,842,14,162,0,9,1.3805851390000001,1.9906323190000001,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
12,288,4792,3806,969,17,208,0,10,1.358283762,1.9756592290000001,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
13,312,4740,3615,1103,22,260,0,9,1.31678247,1.935087719,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
14,336,4682,3394,1260,28,318,0,9,1.328184748,1.965625,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
15,360,4632,3177,1416,39,368,0,9,1.3752111180000002,2.002785515,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
16,384,4554,2966,1531,57,446,0,9,1.366179003,1.967540574,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
17,408,4484,2731,1687,66,516,0,9,1.353307314,1.9863636359999999,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
18,432,4404,2460,1865,79,596,0,9,1.3408039790000001,1.9857288480000002,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
19,456,4319,2261,1967,91,681,0,9,1.343145517,1.994186047,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
20,480,4233,2030,2095,108,767,0,9,1.382174779,2.003652968,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
21,504,4121,1779,2213,129,879,0,10,1.374954064,1.9956933680000002,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
22,528,4003,1539,2314,150,997,0,10,1.385518455,1.996723997,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
23,552,3889,1294,2420,175,1111,0,10,1.373808385,1.991466253,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
24,576,3763,1055,2491,217,1237,0,10,1.371803626,1.994803267,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
25,600,3654,850,2554,250,1346,0,10,1.355960007,1.9772403980000002,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
26,624,3517,668,2545,304,1483,0,10,1.369104551,1.980542043,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
27,648,3373,492,2523,358,1627,0,10,1.360112185,1.98078243,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
28,672,3249,362,2488,399,1751,0,10,1.3573799309999999,1.9951890030000001,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
29,696,3117,249,2418,450,1883,0,10,1.370524897,1.994475138,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
30,720,3001,145,2356,500,1999,0,10,1.366269239,1.9827823690000002,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
31,744,2902,77,2250,575,2098,0,10,1.369212259,1.983949756,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
32,768,2810,44,2124,642,2190,0,10,1.369431548,1.980837473,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
33,792,2705,22,1985,698,2295,0,10,1.373507426,1.990497076,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
34,816,2616,9,1836,771,2384,0,10,1.3798896180000002,1.9886963069999999,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
35,840,2539,3,1701,835,2461,0,10,1.378699194,1.989172467,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
36,864,2464,0,1555,909,2536,0,10,1.3765930419999999,1.9920571880000002,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
37,888,2406,0,1423,983,2594,0,10,1.373467777,1.9935170180000001,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
38,912,2337,0,1282,1055,2663,0,10,1.377436174,1.990833333,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
39,936,2293,0,1175,1118,2707,0,10,1.376225386,1.987309645,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
40,960,2243,0,1046,1197,2757,0,10,1.363359044,1.988754325,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
41,984,2194,0,930,1264,2806,0,10,1.3687879930000002,1.990291262,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
42,1008,2155,0,818,1337,2845,0,10,1.372626556,1.990134529,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
43,1032,2125,0,726,1399,2875,0,10,1.371087561,1.989100817,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
44,1056,2087,0,626,1461,2913,0,10,1.3711189119999998,1.985267035,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
45,1080,2054,0,536,1518,2946,0,10,1.3752512559999999,1.9869158880000002,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
46,1104,2028,0,459,1569,2972,0,10,1.374838732,1.980038023,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
47,1128,2008,0,388,1620,2992,0,10,1.37476289,1.975071908,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
48,1152,2000,0,332,1668,3000,0,10,1.3749753759999999,1.975938402,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
49,1176,1985,0,275,1710,3015,0,10,1.37888871,1.9795918369999999,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
50,1200,1972,0,225,1747,3028,0,10,1.382217686,1.981409002,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
51,1224,1964,0,187,1777,3036,0,10,1.382888795,1.983333333,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
52,1248,1955,0,152,1803,3045,0,10,1.381337808,1.983267717,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
53,1272,1951,0,122,1829,3049,0,10,1.380565421,1.981280788,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
54,1296,1944,0,88,1856,3056,0,10,1.38224833,1.9861386140000001,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
55,1320,1941,0,62,1879,3059,0,10,1.38395814,1.987090367,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
56,1344,1939,0,47,1892,3061,0,10,1.384296024,1.9880715709999999,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
57,1368,1936,0,35,1901,3064,0,10,1.385323831,1.989043825,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
58,1392,1934,0,24,1910,3066,0,10,1.385323831,1.989043825,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
59,1416,1934,0,16,1918,3066,0,10,1.385323831,1.989043825,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
60,1440,1933,0,9,1924,3067,0,10,1.385646563,1.9880358919999999,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
61,1464,1933,0,7,1926,3067,0,10,1.385646563,1.9880358919999999,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
62,1488,1933,0,4,1929,3067,0,10,1.385646563,1.9880358919999999,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
63,1512,1932,0,2,1930,3068,0,10,1.385646563,1.9880358919999999,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
64,1536,1931,0,1,1930,3069,0,10,1.38633847,1.9880239519999998,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
65,1560,1931,0,1,1930,3069,0,10,1.38633847,1.9880239519999998,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
0,0,5000,4999,1,0,0,0,0,0.0,0.0,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
1,24,5000,4999,1,0,0,0,0,0.0,0.0,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
2,48,4999,4995,4,0,1,0,2,0.7071067809999999,1.5,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
3,72,4997,4992,5,0,3,0,2,0.577350269,1.333333333,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
4,96,4995,4976,19,0,5,0,3,0.666666667,1.7777777780000001,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
5,120,4994,4954,40,0,6,0,4,0.8135752959999999,1.80952381,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
6,144,4991,4925,66,0,9,0,6,1.299038106,2.0,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
7,168,4986,4878,108,0,14,0,6,1.248375568,1.928571429,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
8,192,4983,4823,159,1,17,0,7,1.3498710669999998,1.975,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
9,216,4971,4738,232,1,29,0,8,1.414107545,2.017241379,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
10,240,4959,4633,325,1,41,0,8,1.37204241,2.030487805,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
11,264,4946,4549,396,1,54,0,8,1.4084365330000002,2.035,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
12,288,4927,4467,457,3,73,0,8,1.433816316,2.068965517,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
13,312,4905,4394,504,7,95,0,8,1.428908675,2.019083969,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
14,336,4888,4329,548,11,112,0,8,1.4201509719999998,2.024305556,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
15,360,4855,4293,547,15,145,0,8,1.385682839,1.9827586209999999,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
16,384,4826,4254,550,22,174,0,8,1.3728531000000002,1.97979798,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
17,408,4804,4157,623,24,196,0,8,1.416917189,2.04,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
18,432,4770,4081,661,28,230,0,9,1.424236413,2.0231213869999998,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
19,456,4722,3989,702,31,278,0,11,1.420893931,2.013623978,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
20,480,4680,3872,765,43,320,0,12,1.457569185,2.06281407,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
21,504,4640,3769,818,53,360,0,12,1.49734882,2.066193853,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
22,528,4599,3664,873,62,401,0,12,1.4965268090000001,2.077262693,2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0
