day,hour,alive,uninfected,infected,recovered,deaths,quarantined,max_infected,variance_infected,mean_infected,run_no,avg_susceptibility,avg_recovery_time,initial_population,initial_infected,average_death_rate,average_recovery_rate,quarantine_delay,mass_testing_intensity,social_distancing_intensity,lockdown_intensity
0,0,5000,4999,1,0,0,0,0,0.0,0.0,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
1,24,4999,4979,20,0,1,0,6,1.435481125,1.6666666669999999,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
2,48,4998,4951,47,0,2,0,8,1.58051375,2.0434782609999997,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
3,72,4996,4917,79,0,4,0,10,1.6580730830000001,2.222222222,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
4,96,4993,4878,115,0,7,0,12,1.81970348,2.166666667,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
5,120,4988,4818,170,0,12,0,6,1.2246786170000001,2.0126582280000003,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
6,144,4976,4769,207,0,24,0,6,1.216033352,1.979381443,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
7,168,4966,4683,283,0,34,0,7,1.2889737959999998,1.928057554,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
8,192,4945,4577,368,0,55,0,8,1.3219356309999999,1.950276243,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
9,216,4925,4452,472,1,75,0,8,1.326516853,1.952586207,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
10,240,4894,4326,567,1,106,0,8,1.26721138,1.906574394,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
11,264,4868,4193,672,3,132,0,8,1.2386951929999999,1.95,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
12,288,4836,4065,767,4,164,0,8,1.200114248,1.9333333330000002,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
13,312,4800,3923,870,7,200,0,8,1.250998384,1.961098398,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
14,336,4766,3773,983,10,234,0,8,1.250751778,1.944554455,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
15,360,4716,3633,1069,14,284,0,8,1.247338628,1.963768116,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
16,384,4662,3505,1136,21,338,0,8,1.237574777,1.9810344830000002,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
17,408,4609,3369,1210,30,391,0,8,1.2408412979999999,1.97752809,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
18,432,4557,3206,1313,38,443,0,8,1.284009986,1.9809384159999999,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
19,456,4479,3047,1382,50,521,0,12,1.306093708,1.977869986,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
20,480,4412,2826,1522,64,588,0,8,1.2623221470000001,1.96388543,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
21,504,4330,2648,1587,95,670,0,8,1.2902713540000001,1.9739336490000001,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
22,528,4255,2464,1677,114,745,0,8,1.304991014,1.969866071,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
23,552,4183,2284,1760,139,817,0,9,1.301676269,1.970401691,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
24,576,4076,2100,1807,169,924,0,9,1.294921424,1.972392638,1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0
