run_no,avg_susceptibility,avg_recovery_time,initial_population,initial_infected,average_death_rate,average_recovery_rate,quarantine_delay,mass_testing_intensity,social_distancing_intensity,lockdown_intensity,final_pop,day_max_infected,day_max_infetion,total_recovered,total_deaths,total_quarantined,max_infected,max_variance,max_mean
1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0,1931.0,36.0,25.0,1930.0,3069.0,0.0,10.0,1.4024482459999998,2.333333333
2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0,2292.0,65.0,43.0,1541.0,2708.0,0.0,15.0,1.541252511,2.077262693
3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0,3750.0,65.0,52.0,668.0,1250.0,0.0,14.0,1.797459081,2.101694915
4.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,100.0,4812.0,12.0,10.0,123.0,188.0,0.0,13.0,1.838972045,2.1818181819999998
5.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,70.0,0.0,4270.0,65.0,65.0,325.0,730.0,0.0,9.0,1.501710736,2.210526316
6.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,70.0,80.0,4797.0,49.0,19.0,117.0,203.0,0.0,6.0,1.300093805,2.227272727
7.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,70.0,90.0,4822.0,44.0,21.0,114.0,178.0,0.0,8.0,1.84773311,3.0
8.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,70.0,100.0,4776.0,60.0,29.0,117.0,224.0,0.0,9.0,1.609973782,2.160493827
9.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,80.0,0.0,4810.0,65.0,51.0,98.0,190.0,0.0,7.0,1.464292739,2.28125
10.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,80.0,80.0,4810.0,64.0,30.0,104.0,190.0,0.0,7.0,1.549193338,2.073170732
11.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,80.0,90.0,4823.0,64.0,36.0,109.0,177.0,0.0,6.0,1.303840481,2.25
12.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,80.0,100.0,4871.0,65.0,46.0,72.0,129.0,0.0,6.0,1.527525232,3.0
13.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,90.0,0.0,4992.0,64.0,60.0,4.0,8.0,0.0,3.0,1.4142135619999998,2.5
14.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,90.0,80.0,4964.0,65.0,60.0,11.0,36.0,0.0,5.0,1.892969449,2.25
15.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,90.0,90.0,4960.0,65.0,63.0,18.0,40.0,0.0,9.0,1.9645551980000002,3.0
16.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,90.0,100.0,5000.0,15.0,15.0,1.0,0.0,0.0,1.0,0.0,1.0
