run_no,avg_susceptibility,avg_recovery_time,initial_population,initial_infected,average_death_rate,average_recovery_rate,quarantine_delay,mass_testing_intensity,social_distancing_intensity,lockdown_intensity,final_pop,day_max_infected,day_max_infetion,total_infected,total_recovered,total_deaths,total_quarantined,max_infected,max_variance,max_mean
1.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,0.0,1945.0,43.0,30.0,1967.0,1913.0,3055.0,0.0,12.0,1.81970348,2.222222222
2.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,80.0,2884.0,65.0,47.0,1338.0,1108.0,2116.0,0.0,16.0,1.947059689,2.425287356
3.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,90.0,4772.0,26.0,11.0,261.0,121.0,228.0,0.0,8.0,1.530621779,2.123595506
4.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,0.0,100.0,4798.0,25.0,9.0,258.0,115.0,202.0,0.0,10.0,1.7461655409999999,2.010204082
5.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,70.0,0.0,4383.0,65.0,65.0,551.0,269.0,617.0,0.0,11.0,2.0889318709999998,4.0
6.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,70.0,80.0,4654.0,64.0,55.0,190.0,168.0,346.0,0.0,8.0,1.523640172,3.0
7.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,70.0,90.0,4794.0,42.0,25.0,188.0,121.0,206.0,0.0,6.0,1.457181054,2.384615385
8.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,70.0,100.0,4810.0,34.0,23.0,168.0,114.0,190.0,0.0,7.0,1.7861904130000001,2.095238095
9.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,80.0,0.0,5000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,80.0,80.0,4869.0,65.0,27.0,78.0,77.0,131.0,0.0,6.0,2.121320344,5.0
11.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,80.0,90.0,4852.0,65.0,34.0,71.0,89.0,148.0,0.0,9.0,1.738988681,2.46
12.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,80.0,100.0,4805.0,62.0,34.0,170.0,123.0,195.0,0.0,7.0,1.244918265,2.103448276
13.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,90.0,0.0,4995.0,23.0,12.0,5.0,6.0,5.0,0.0,3.0,1.154700538,3.0
14.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,90.0,80.0,4933.0,65.0,28.0,36.0,44.0,67.0,0.0,5.0,1.329023833,2.272727273
15.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,90.0,90.0,4975.0,65.0,33.0,18.0,19.0,25.0,0.0,4.0,1.4142135619999998,2.2
16.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,0.0,90.0,100.0,4961.0,65.0,52.0,30.0,26.0,39.0,0.0,7.0,1.5296631269999998,2.214285714
17.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,20.0,0.0,0.0,1974.0,46.0,30.0,2144.0,1948.0,3026.0,3822.0,10.0,1.517098316,2.225
18.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,20.0,0.0,80.0,4437.0,49.0,15.0,407.0,338.0,563.0,666.0,10.0,1.568414321,2.0421052630000003
19.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,20.0,0.0,90.0,4799.0,9.0,8.0,269.0,122.0,201.0,258.0,10.0,1.607823421,2.092307692
20.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,20.0,0.0,100.0,4802.0,12.0,10.0,266.0,134.0,198.0,254.0,8.0,1.366574093,2.0957446809999998
21.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,20.0,70.0,0.0,4992.0,13.0,13.0,7.0,3.0,8.0,8.0,4.0,2.121320344,3.0
22.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,20.0,70.0,80.0,4912.0,65.0,63.0,80.0,38.0,88.0,140.0,6.0,1.3738872359999998,2.127272727
23.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,20.0,70.0,90.0,4937.0,33.0,20.0,71.0,55.0,63.0,89.0,5.0,2.0,2.0
24.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,20.0,70.0,100.0,4840.0,56.0,46.0,141.0,91.0,160.0,223.0,8.0,1.328670145,2.0
25.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,20.0,80.0,0.0,4983.0,18.0,13.0,20.0,10.0,17.0,24.0,4.0,1.032795559,2.0
26.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,20.0,80.0,80.0,4955.0,49.0,31.0,29.0,32.0,45.0,59.0,7.0,2.267786838,2.217391304
27.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,20.0,80.0,90.0,5000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,20.0,80.0,100.0,4989.0,25.0,16.0,11.0,7.0,11.0,14.0,5.0,1.380131119,2.5
29.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,20.0,90.0,0.0,5000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
30.0,60.0,504.0,5000.0,1.0,0.2,90.0,1.0,20.0,90.0,80.0,4999.0,3.0,3.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0
