day,index,count turtles,count turtles with [infected? = False],count turtles with [infected? = True],count turtles with [recovered? = True],count turtles-on patches with [quarantine? = True],mean-infected-count,variance-infected-count,max-infected-count,run number,initial-infected,average-vulnerability,average-death-rate,health-capacity,male-fraction,initial-population,testing-accuracy,average-recovery-rate,elder-fraction,average-recovery-time,asymptomatic-fraction,infected-movement?,social-distancing-intensity,mass-testing-intensity,quarantine-delay,contact-tracing?,contact-tracing-delay,lockdown-intensity
0,0,5000.0,4999.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
1,24,5000.0,4993.0,7.0,0.0,0.0,1.5,0.5773502691896257,2.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
2,48,5000.0,4981.0,19.0,0.0,0.0,2.25,1.3887301496588271,5.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
3,72,5000.0,4963.0,37.0,0.0,0.0,2.0,1.3719886811400708,6.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
4,96,4998.0,4951.0,47.0,0.0,0.0,2.0454545454545454,1.5576928215816257,7.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
5,120,4998.0,4928.0,70.0,0.0,0.0,2.0,1.687745492805372,8.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
6,144,4998.0,4905.0,93.0,0.0,0.0,2.0222222222222217,1.6987815003285696,9.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
7,168,4997.0,4876.0,121.0,1.0,0.0,1.8333333333333333,1.6969051769286292,11.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
8,192,4996.0,4839.0,157.0,2.0,0.0,1.9875,1.7965772661975108,11.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
9,216,4994.0,4795.0,199.0,2.0,0.0,2.02,1.729015601287319,11.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
10,240,4994.0,4749.0,245.0,3.0,0.0,2.057851239669421,1.7092762633210037,11.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
11,264,4992.0,4689.0,303.0,4.0,0.0,2.0805369127516777,1.7026084063731666,11.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
12,288,4990.0,4623.0,367.0,6.0,0.0,2.094444444444445,1.6568706527743289,11.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
13,312,4987.0,4546.0,441.0,8.0,0.0,2.092165898617512,1.6613201494645482,11.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
14,336,4986.0,4486.0,500.0,8.0,0.0,2.097959183673469,1.698177638943926,11.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
15,360,4984.0,4412.0,572.0,9.0,0.0,2.1035714285714286,1.7080836991187178,11.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
16,384,4983.0,4332.0,651.0,15.0,0.0,2.1159874608150466,1.7162820573761195,11.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
17,408,4978.0,4238.0,740.0,17.0,0.0,2.0928961748633883,1.7096354895120276,11.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
18,432,4977.0,4124.0,853.0,27.0,0.0,2.069767441860465,1.7069083385837591,13.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
19,456,4970.0,4002.0,968.0,36.0,0.0,2.052738336713996,1.6544033405129763,13.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
20,480,4966.0,3899.0,1067.0,47.0,0.0,2.0344202898550723,1.6179270275859294,13.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
21,504,4962.0,3784.0,1178.0,63.0,0.0,2.02258064516129,1.6145961202764731,13.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
22,528,4955.0,3641.0,1314.0,71.0,0.0,2.014450867052023,1.6085226574114126,13.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
23,552,4946.0,3511.0,1435.0,91.0,0.0,2.011842105263158,1.6195826578401529,13.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
24,576,4936.0,3380.0,1556.0,114.0,0.0,2.0059952038369304,1.6069215623483282,13.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
25,600,4923.0,3239.0,1684.0,141.0,0.0,2.0098901098901103,1.6292536741298251,13.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
26,624,4917.0,3074.0,1843.0,169.0,0.0,1.9920870425321464,1.6025773475225098,13.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
27,648,4906.0,2958.0,1948.0,216.0,0.0,1.979890310786106,1.583757211412212,13.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
28,672,4900.0,2845.0,2055.0,253.0,0.0,1.9982683982683984,1.5917890855547656,13.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
29,696,4887.0,2719.0,2168.0,300.0,0.0,2.007317073170732,1.5863879237765834,13.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
30,720,4875.0,2593.0,2282.0,347.0,0.0,1.9984848484848483,1.5682591212842645,13.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
31,744,4864.0,2521.0,2343.0,399.0,0.0,1.994207096307024,1.5626885177337462,13.0,1,1,100,0.02,25,0,5000,100,90,0,504,20,true,0,0,0,false,0,0
