"export-plot data (NetLogo 6.1.1)"
"epi_model.nlogo"
"04/10/2020 20:18:55:150 +0800"

"MODEL SETTINGS"
"initial-infected","average-susceptibility","average-recovery-time","mass-testing-intensity","average-death-rate","average-recovery-rate","quarantine-delay","initial-population","social-distancing-intensity","lockdown-intensity"
"1","100","504","0","0","100","1","5000","0","0"

"""Population Partitioned by Health Status"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","2190","0","5470","true","""infected""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""infected""","true","0","1","15","1844"
"""recovered""","true","0","1","105","1844"

"""infected""",,,,"""recovered"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","1","15","true","0","0","105","true"
"1","2","15","true","1","0","105","true"
"2","2","15","true","2","0","105","true"
"3","2","15","true","3","0","105","true"
"4","3","15","true","4","0","105","true"
"5","5","15","true","5","0","105","true"
"6","6","15","true","6","0","105","true"
"7","7","15","true","7","0","105","true"
"8","7","15","true","8","0","105","true"
"9","8","15","true","9","0","105","true"
"10","9","15","true","10","0","105","true"
"11","9","15","true","11","0","105","true"
"12","9","15","true","12","0","105","true"
"13","11","15","true","13","0","105","true"
"14","11","15","true","14","0","105","true"
"15","12","15","true","15","0","105","true"
"16","12","15","true","16","0","105","true"
"17","12","15","true","17","0","105","true"
"18","12","15","true","18","0","105","true"
"19","15","15","true","19","0","105","true"
"20","16","15","true","20","0","105","true"
"21","17","15","true","21","0","105","true"
"22","19","15","true","22","0","105","true"
"23","21","15","true","23","0","105","true"
"24","21","15","true","24","0","105","true"
"25","22","15","true","25","0","105","true"
"26","24","15","true","26","0","105","true"
"27","28","15","true","27","0","105","true"
"28","29","15","true","28","0","105","true"
"29","30","15","true","29","0","105","true"
"30","30","15","true","30","0","105","true"
"31","30","15","true","31","0","105","true"
"32","33","15","true","32","0","105","true"
"33","34","15","true","33","0","105","true"
"34","35","15","true","34","0","105","true"
"35","35","15","true","35","0","105","true"
"36","38","15","true","36","0","105","true"
"37","38","15","true","37","0","105","true"
"38","39","15","true","38","0","105","true"
"39","41","15","true","39","0","105","true"
"40","45","15","true","40","0","105","true"
"41","46","15","true","41","0","105","true"
"42","49","15","true","42","0","105","true"
"43","50","15","true","43","0","105","true"
"44","50","15","true","44","0","105","true"
"45","52","15","true","45","0","105","true"
"46","57","15","true","46","0","105","true"
"47","59","15","true","47","0","105","true"
"48","60","15","true","48","0","105","true"
"49","62","15","true","49","0","105","true"
"50","62","15","true","50","0","105","true"
"51","64","15","true","51","0","105","true"
"52","68","15","true","52","0","105","true"
"53","70","15","true","53","0","105","true"
"54","72","15","true","54","0","105","true"
"55","76","15","true","55","0","105","true"
"56","77","15","true","56","0","105","true"
"57","77","15","true","57","0","105","true"
"58","80","15","true","58","0","105","true"
"59","83","15","true","59","0","105","true"
"60","89","15","true","60","0","105","true"
"61","94","15","true","61","0","105","true"
"62","95","15","true","62","0","105","true"
"63","95","15","true","63","0","105","true"
"64","97","15","true","64","0","105","true"
"65","99","15","true","65","0","105","true"
"66","100","15","true","66","0","105","true"
"67","102","15","true","67","0","105","true"
"68","103","15","true","68","0","105","true"
"69","105","15","true","69","0","105","true"
"70","111","15","true","70","0","105","true"
"71","111","15","true","71","0","105","true"
"72","111","15","true","72","0","105","true"
"73","111","15","true","73","0","105","true"
"74","113","15","true","74","0","105","true"
"75","114","15","true","75","0","105","true"
"76","118","15","true","76","0","105","true"
"77","118","15","true","77","0","105","true"
"78","122","15","true","78","0","105","true"
"79","126","15","true","79","0","105","true"
"80","129","15","true","80","0","105","true"
"81","134","15","true","81","0","105","true"
"82","135","15","true","82","0","105","true"
"83","136","15","true","83","0","105","true"
"84","139","15","true","84","0","105","true"
"85","141","15","true","85","0","105","true"
"86","145","15","true","86","0","105","true"
"87","147","15","true","87","0","105","true"
"88","150","15","true","88","0","105","true"
"89","151","15","true","89","0","105","true"
"90","154","15","true","90","0","105","true"
"91","155","15","true","91","0","105","true"
"92","159","15","true","92","0","105","true"
"93","162","15","true","93","0","105","true"
"94","164","15","true","94","0","105","true"
"95","167","15","true","95","0","105","true"
"96","167","15","true","96","0","105","true"
"97","170","15","true","97","0","105","true"
"98","174","15","true","98","0","105","true"
"99","176","15","true","99","0","105","true"
"100","179","15","true","100","0","105","true"
"101","182","15","true","101","0","105","true"
"102","185","15","true","102","0","105","true"
"103","187","15","true","103","0","105","true"
"104","190","15","true","104","0","105","true"
"105","193","15","true","105","0","105","true"
"106","198","15","true","106","0","105","true"
"107","201","15","true","107","0","105","true"
"108","203","15","true","108","0","105","true"
"109","203","15","true","109","0","105","true"
"110","204","15","true","110","1","105","true"
"111","211","15","true","111","1","105","true"
"112","213","15","true","112","1","105","true"
"113","214","15","true","113","1","105","true"
"114","214","15","true","114","1","105","true"
"115","215","15","true","115","1","105","true"
"116","216","15","true","116","1","105","true"
"117","219","15","true","117","1","105","true"
"118","219","15","true","118","1","105","true"
"119","219","15","true","119","1","105","true"
"120","221","15","true","120","1","105","true"
"121","223","15","true","121","1","105","true"
"122","224","15","true","122","1","105","true"
"123","226","15","true","123","1","105","true"
"124","228","15","true","124","1","105","true"
"125","231","15","true","125","1","105","true"
"126","231","15","true","126","1","105","true"
"127","234","15","true","127","1","105","true"
"128","236","15","true","128","1","105","true"
"129","239","15","true","129","1","105","true"
"130","246","15","true","130","1","105","true"
"131","251","15","true","131","1","105","true"
"132","256","15","true","132","1","105","true"
"133","262","15","true","133","1","105","true"
"134","265","15","true","134","1","105","true"
"135","266","15","true","135","1","105","true"
"136","267","15","true","136","1","105","true"
"137","269","15","true","137","1","105","true"
"138","269","15","true","138","1","105","true"
"139","270","15","true","139","1","105","true"
"140","277","15","true","140","1","105","true"
"141","280","15","true","141","1","105","true"
"142","280","15","true","142","1","105","true"
"143","284","15","true","143","1","105","true"
"144","288","15","true","144","1","105","true"
"145","289","15","true","145","1","105","true"
"146","292","15","true","146","1","105","true"
"147","292","15","true","147","1","105","true"
"148","293","15","true","148","1","105","true"
"149","294","15","true","149","1","105","true"
"150","296","15","true","150","1","105","true"
"151","297","15","true","151","1","105","true"
"152","301","15","true","152","1","105","true"
"153","302","15","true","153","1","105","true"
"154","305","15","true","154","1","105","true"
"155","309","15","true","155","1","105","true"
"156","312","15","true","156","1","105","true"
"157","321","15","true","157","1","105","true"
"158","322","15","true","158","1","105","true"
"159","324","15","true","159","1","105","true"
"160","326","15","true","160","1","105","true"
"161","329","15","true","161","1","105","true"
"162","334","15","true","162","1","105","true"
"163","339","15","true","163","2","105","true"
"164","345","15","true","164","2","105","true"
"165","347","15","true","165","2","105","true"
"166","350","15","true","166","2","105","true"
"167","352","15","true","167","2","105","true"
"168","354","15","true","168","2","105","true"
"169","356","15","true","169","2","105","true"
"170","361","15","true","170","2","105","true"
"171","362","15","true","171","2","105","true"
"172","365","15","true","172","2","105","true"
"173","366","15","true","173","2","105","true"
"174","368","15","true","174","2","105","true"
"175","370","15","true","175","2","105","true"
"176","374","15","true","176","2","105","true"
"177","376","15","true","177","2","105","true"
"178","378","15","true","178","2","105","true"
"179","379","15","true","179","2","105","true"
"180","381","15","true","180","2","105","true"
"181","383","15","true","181","2","105","true"
"182","386","15","true","182","2","105","true"
"183","388","15","true","183","2","105","true"
"184","391","15","true","184","2","105","true"
"185","391","15","true","185","2","105","true"
"186","392","15","true","186","2","105","true"
"187","394","15","true","187","2","105","true"
"188","395","15","true","188","2","105","true"
"189","401","15","true","189","2","105","true"
"190","405","15","true","190","2","105","true"
"191","410","15","true","191","2","105","true"
"192","415","15","true","192","2","105","true"
"193","420","15","true","193","2","105","true"
"194","425","15","true","194","2","105","true"
"195","430","15","true","195","2","105","true"
"196","434","15","true","196","2","105","true"
"197","438","15","true","197","2","105","true"
"198","442","15","true","198","2","105","true"
"199","446","15","true","199","2","105","true"
"200","448","15","true","200","2","105","true"
"201","453","15","true","201","2","105","true"
"202","456","15","true","202","2","105","true"
"203","462","15","true","203","2","105","true"
"204","465","15","true","204","2","105","true"
"205","472","15","true","205","2","105","true"
"206","477","15","true","206","2","105","true"
"207","481","15","true","207","2","105","true"
"208","485","15","true","208","2","105","true"
"209","488","15","true","209","2","105","true"
"210","489","15","true","210","2","105","true"
"211","491","15","true","211","2","105","true"
"212","497","15","true","212","2","105","true"
"213","502","15","true","213","2","105","true"
"214","506","15","true","214","2","105","true"
"215","511","15","true","215","2","105","true"
"216","516","15","true","216","2","105","true"
"217","521","15","true","217","2","105","true"
"218","524","15","true","218","2","105","true"
"219","529","15","true","219","2","105","true"
"220","531","15","true","220","3","105","true"
"221","536","15","true","221","3","105","true"
"222","539","15","true","222","3","105","true"
"223","545","15","true","223","3","105","true"
"224","554","15","true","224","3","105","true"
"225","558","15","true","225","3","105","true"
"226","561","15","true","226","3","105","true"
"227","566","15","true","227","3","105","true"
"228","573","15","true","228","3","105","true"
"229","577","15","true","229","3","105","true"
"230","581","15","true","230","4","105","true"
"231","582","15","true","231","4","105","true"
"232","588","15","true","232","4","105","true"
"233","592","15","true","233","4","105","true"
"234","596","15","true","234","5","105","true"
"235","601","15","true","235","5","105","true"
"236","603","15","true","236","5","105","true"
"237","609","15","true","237","5","105","true"
"238","615","15","true","238","5","105","true"
"239","624","15","true","239","5","105","true"
"240","628","15","true","240","5","105","true"
"241","636","15","true","241","5","105","true"
"242","644","15","true","242","5","105","true"
"243","647","15","true","243","6","105","true"
"244","651","15","true","244","6","105","true"
"245","656","15","true","245","6","105","true"
"246","663","15","true","246","6","105","true"
"247","670","15","true","247","6","105","true"
"248","675","15","true","248","6","105","true"
"249","676","15","true","249","6","105","true"
"250","680","15","true","250","6","105","true"
"251","683","15","true","251","7","105","true"
"252","686","15","true","252","7","105","true"
"253","693","15","true","253","7","105","true"
"254","700","15","true","254","7","105","true"
"255","707","15","true","255","7","105","true"
"256","709","15","true","256","7","105","true"
"257","712","15","true","257","7","105","true"
"258","715","15","true","258","7","105","true"
"259","717","15","true","259","7","105","true"
"260","722","15","true","260","7","105","true"
"261","729","15","true","261","7","105","true"
"262","730","15","true","262","7","105","true"
"263","732","15","true","263","7","105","true"
"264","735","15","true","264","7","105","true"
"265","738","15","true","265","8","105","true"
"266","742","15","true","266","8","105","true"
"267","747","15","true","267","8","105","true"
"268","750","15","true","268","8","105","true"
"269","755","15","true","269","9","105","true"
"270","763","15","true","270","9","105","true"
"271","766","15","true","271","9","105","true"
"272","773","15","true","272","9","105","true"
"273","780","15","true","273","9","105","true"
"274","785","15","true","274","9","105","true"
"275","790","15","true","275","9","105","true"
"276","794","15","true","276","9","105","true"
"277","800","15","true","277","9","105","true"
"278","806","15","true","278","9","105","true"
"279","817","15","true","279","9","105","true"
"280","820","15","true","280","9","105","true"
"281","829","15","true","281","9","105","true"
"282","837","15","true","282","9","105","true"
"283","845","15","true","283","10","105","true"
"284","853","15","true","284","10","105","true"
"285","862","15","true","285","10","105","true"
"286","867","15","true","286","10","105","true"
"287","870","15","true","287","10","105","true"
"288","871","15","true","288","10","105","true"
"289","873","15","true","289","10","105","true"
"290","879","15","true","290","10","105","true"
"291","886","15","true","291","10","105","true"
"292","891","15","true","292","10","105","true"
"293","895","15","true","293","10","105","true"
"294","902","15","true","294","11","105","true"
"295","907","15","true","295","12","105","true"
"296","909","15","true","296","12","105","true"
"297","916","15","true","297","12","105","true"
"298","921","15","true","298","12","105","true"
"299","926","15","true","299","13","105","true"
"300","933","15","true","300","13","105","true"
"301","938","15","true","301","13","105","true"
"302","942","15","true","302","13","105","true"
"303","944","15","true","303","13","105","true"
"304","949","15","true","304","14","105","true"
"305","954","15","true","305","14","105","true"
"306","958","15","true","306","14","105","true"
"307","961","15","true","307","14","105","true"
"308","968","15","true","308","14","105","true"
"309","972","15","true","309","14","105","true"
"310","976","15","true","310","14","105","true"
"311","979","15","true","311","15","105","true"
"312","985","15","true","312","15","105","true"
"313","986","15","true","313","16","105","true"
"314","995","15","true","314","16","105","true"
"315","997","15","true","315","16","105","true"
"316","998","15","true","316","16","105","true"
"317","1000","15","true","317","16","105","true"
"318","1004","15","true","318","17","105","true"
"319","1008","15","true","319","17","105","true"
"320","1012","15","true","320","17","105","true"
"321","1016","15","true","321","17","105","true"
"322","1017","15","true","322","19","105","true"
"323","1019","15","true","323","19","105","true"
"324","1021","15","true","324","19","105","true"
"325","1025","15","true","325","20","105","true"
"326","1027","15","true","326","20","105","true"
"327","1031","15","true","327","21","105","true"
"328","1035","15","true","328","21","105","true"
"329","1036","15","true","329","23","105","true"
"330","1041","15","true","330","23","105","true"
"331","1043","15","true","331","23","105","true"
"332","1045","15","true","332","23","105","true"
"333","1051","15","true","333","23","105","true"
"334","1057","15","true","334","23","105","true"
"335","1062","15","true","335","23","105","true"
"336","1065","15","true","336","24","105","true"
"337","1072","15","true","337","25","105","true"
"338","1078","15","true","338","25","105","true"
"339","1082","15","true","339","25","105","true"
"340","1092","15","true","340","25","105","true"
"341","1098","15","true","341","25","105","true"
"342","1099","15","true","342","26","105","true"
"343","1105","15","true","343","28","105","true"
"344","1111","15","true","344","28","105","true"
"345","1113","15","true","345","29","105","true"
"346","1120","15","true","346","30","105","true"
"347","1124","15","true","347","30","105","true"
"348","1129","15","true","348","31","105","true"
"349","1133","15","true","349","32","105","true"
"350","1136","15","true","350","33","105","true"
"351","1138","15","true","351","33","105","true"
"352","1142","15","true","352","33","105","true"
"353","1147","15","true","353","33","105","true"
"354","1152","15","true","354","33","105","true"
"355","1158","15","true","355","33","105","true"
"356","1162","15","true","356","34","105","true"
"357","1167","15","true","357","34","105","true"
"358","1177","15","true","358","34","105","true"
"359","1184","15","true","359","35","105","true"
"360","1191","15","true","360","35","105","true"
"361","1196","15","true","361","37","105","true"
"362","1201","15","true","362","39","105","true"
